analysis_id,experiment_id,block_size_cells,nominal_scale,fold_id,large_block_id,test_rows,test_positives
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,0,b20_r1_c2,394,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,0,b20_r1_c7,391,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,0,b20_r2_c0,376,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,0,b20_r2_c6,400,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,0,b20_r3_c0,377,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,0,b20_r3_c6,400,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,0,b20_r4_c6,400,128
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,0,b20_r4_c8,300,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,0,b20_r5_c3,262,138
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,0,b20_r5_c4,351,294
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,0,b20_r6_c3,17,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,0,b20_r6_c6,358,11
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,1,b20_r0_c2,400,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,1,b20_r0_c4,342,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,1,b20_r0_c6,400,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,1,b20_r1_c3,354,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,1,b20_r1_c8,298,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,1,b20_r2_c3,392,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,1,b20_r3_c5,400,9
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,1,b20_r3_c7,392,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,1,b20_r5_c1,115,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,1,b20_r5_c2,214,20
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,1,b20_r5_c5,341,322
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,1,b20_r5_c6,400,250
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,2,b20_r0_c1,381,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,2,b20_r0_c5,388,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,2,b20_r0_c8,300,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,2,b20_r1_c0,400,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,2,b20_r1_c1,397,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,2,b20_r2_c2,398,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,2,b20_r3_c1,365,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,2,b20_r3_c3,400,212
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,2,b20_r3_c8,292,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,2,b20_r4_c1,335,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,2,b20_r4_c4,400,400
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,2,b20_r6_c4,70,8
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,3,b20_r0_c0,322,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,3,b20_r0_c3,395,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,3,b20_r1_c4,385,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,3,b20_r2_c5,399,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,3,b20_r2_c8,300,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,3,b20_r3_c2,389,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,3,b20_r4_c3,388,370
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,3,b20_r4_c5,378,220
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,3,b20_r4_c7,400,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,3,b20_r5_c0,105,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,3,b20_r6_c7,360,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,3,b20_r6_c8,270,0
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,20,approximately_10_km,4,b20_r0_c7,398,0
